NBRHD_NAME,POPULATION_2010
Athmar Park,8898
Auraria,705
Baker,4879
Barnum,6111
Barnum West,5376
Bear Valley,8889
Belcaro,4172
Berkeley,8112
CBD,3648
Capitol Hill,14708
Chaffee Park,3874
Cheesman Park,7971
Cherry Creek,5589
City Park,2907
City Park West,4844
Civic Center,1577
Clayton,4336
Cole,4651
College View / South Platte,6498
Congress Park,10235
Cory - Merrill,3892
Country Club,3001
DIA,1165
East Colfax,10191
Elyria Swansea,6401
Five Points,12712
Fort Logan,8532
Gateway / Green Valley Ranch,29201
Globeville,3687
Goldsmith,5808
Hale,6936
Hampden,17547
Hampden South,14370
Harvey Park,11525
Harvey Park South,8393
Highland,8429
Hilltop,8190
Indian Creek,3096
Jefferson Park,2552
Kennedy,4464
Lincoln Park,6119
Lowry Field,8067
Mar Lee,12452
Marston,11132
Montbello,30348
Montclair,5456
North Capitol Hill,5823
North Park Hill,9382
Northeast Park Hill,7822
Overland,2218
Platt Park,5393
Regis,3934
Rosedale,2553
Ruby Hill,9820
Skyland,3106
Sloan Lake,7238
South Park Hill,8590
Southmoor Park,3826
Speer,10954
Stapleton,13948
Sun Valley,1448
Sunnyside,9726
Union Station,4348
University,9375
University Hills,5327
University Park,7491
Valverde,3941
Villa Park,8758
Virginia Village,12844
Washington Park,6905
Washington Park West,6393
Washington Virginia Vale,13030
Wellshire,3133
West Colfax,9740
West Highland,8540
Westwood,15486
Whittier,4831
Windsor,12589
